HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ABCG2|9429	11	30	45	26	478	60	21	11	12	36
ABCG4|64137	0	1	9	3	1	7	2	2	1	7
ABCG5|64240	7	4	1	6	99	4	8	16	9	19
ABCG8|64241	7	2	2	1	92	3	5	0	0	8
ABHD10|55347	195	838	421	1034	1193	633	665	483	1507	677
ABHD11|83451	1816	1150	2161	1603	2712	2347	772	1051	1012	2028
ABHD12B|145447	2	0	52	109	1	8	6	430	245	22
ABHD12|26090	939	4488	1953	1571	2888	2874	748	1035	2580	2496
ABHD13|84945	104	607	357	1053	691	954	619	568	718	661
ABHD14A|25864	160	250	338	183	127	142	210	109	126	221
ABHD14B|84836	2033	1594	2808	1533	798	1711	2595	641	966	2448
ABHD15|116236	254	645	326	175	371	288	561	133	334	510
ABHD1|84696	15	12	15	7	21	44	38	16	28	37
ABHD2|11057	1196	4594	6959	3653	15167	3784	2708	1383	6932	2171
ABHD3|171586	193	701	742	547	825	723	831	723	911	2218
ABHD4|63874	349	424	1438	308	771	369	328	102	548	361
ABHD5|51099	129	480	415	547	601	351	445	384	332	406
ABHD6|57406	132	376	673	377	329	245	498	250	423	301
ABHD8|79575	124	151	200	79	86	148	97	31	58	121
ABI1|10006	645	1867	1764	2143	2441	2180	2073	1073	2960	2487
ABI2|10152	561	1131	9480	4315	1672	2011	3851	6193	2450	1515
ABI3BP|25890	15	172	87	76	34	147	87	13	21	123
ABI3|51225	183	307	264	96	72	210	209	120	66	314
ABL1|25	1089	3301	1522	892	1019	2128	1780	872	1516	2838
ABL2|27	177	556	540	441	208	707	514	219	300	496
ABLIM1|3983	920	3069	3294	2255	3274	2598	2237	2381	4210	1663
ABLIM2|84448	613	461	728	250	717	270	523	125	1073	475
ABLIM3|22885	115	96	2089	79	1255	81	94	49	66	67
ABO|28	693	545	300	211	116	88	171	104	207	828
ABP1|26	6132	3480	6703	3994	5870	3874	3014	998	2769	2505
ABRA|137735	1	4	0	1	2	1	2	3	0	5
ABR|29	2025	2135	5022	2347	3169	10571	2008	1606	1401	1923
ABT1|29777	421	1179	505	1214	656	1176	1142	566	1305	1098
ABTB1|80325	431	481	1219	176	376	309	355	126	561	407
ABTB2|25841	267	180	907	157	412	138	328	134	522	301
ACAA1|30	1379	1359	1751	1095	2898	1164	631	776	943	619
ACAA2|10449	1104	3218	2585	3556	4406	3004	1715	3536	2165	2000
ACACA|31	867	1427	1547	1002	608	930	1169	482	1378	1791
ACACB|32	345	319	258	247	405	388	291	139	317	222
ACAD10|80724	420	456	365	470	411	604	562	151	501	887
ACAD11|84129	80	154	101	126	158	313	292	93	335	237
ACAD8|27034	275	547	360	303	249	399	421	283	341	571
ACAD9|28976	717	1275	733	722	809	979	794	474	1920	766
ACADL|33	1	1	2	1	1	0	1	2	2	1
ACADM|34	89	1120	331	1121	882	643	1457	763	987	1180
ACADSB|36	63	497	290	835	532	926	700	268	542	488
ACADS|35	785	837	933	1363	1832	594	943	640	1668	996
ACADVL|37	3924	3031	3476	6197	7729	6726	3102	3085	2349	3760
ACAN|176	56	155	90	51	14	412	193	178	103	154
ACAP1|9744	74	155	132	65	86	126	124	40	19	214
ACAP2|23527	133	1755	592	973	1424	1149	1158	621	1939	1072
ACAP3|116983	690	447	503	457	1212	511	858	327	953	582
ACAT1|38	487	788	658	933	534	1127	1376	758	1727	2194
ACAT2|39	374	2479	496	1100	961	936	1333	1019	1731	1764
ACBD3|64746	363	1745	1163	1588	1478	1642	1388	894	2052	1865
ACBD4|79777	93	169	144	152	185	396	342	78	125	240
ACBD5|91452	229	649	1043	1009	2922	1147	1042	679	1559	1897
ACBD6|84320	516	776	648	914	524	730	576	353	699	630
ACBD7|414149	29	91	124	110	108	189	173	81	40	55
ACCN1|40	5	15	42	10	4	60	10	32	7	67
ACCN2|41	243	118	610	206	114	602	368	125	564	271
ACCN3|9311	14	3	70	10	4	18	7	6	2	11
ACCN4|55515	2	1	1	2	22	0	2	4	1	0
ACCN5|51802	0	0	0	0	0	0	0	0	0	0
ACCSL|390110	0	0	5	0	0	0	2	0	0	0
ACCS|84680	104	112	106	44	65	310	220	36	35	162
ACD|65057	551	801	793	220	471	689	421	198	602	818
ACE2|59272	728	1574	102	1875	1122	1696	246	1208	450	1092
ACER1|125981	0	0	0	0	0	0	0	0	0	0
ACER2|340485	40	78	400	45	47	48	63	30	128	97
ACER3|55331	119	415	336	248	236	988	305	236	324	605
ACE|1636	1017	944	1724	559	476	340	1266	159	231	711
ACHE|43	420	369	169	76	204	388	103	59	80	185
ACIN1|22985	886	2054	1712	1023	1704	1966	1822	1120	1860	1845
ACLY|47	2797	5061	4912	3180	2271	4570	4584	2579	5336	5089
ACMSD|130013	0	1	0	2	2	1	1	0	1	0
ACN9|57001	98	458	221	812	596	617	155	647	838	959
ACO1|48	916	2116	1257	1001	404	1899	1003	505	1167	1576
ACO2|50	2680	3697	2101	1800	5079	1660	2410	1376	3509	2554
ACOT11|26027	917	479	504	414	515	621	681	178	494	462
ACOT12|134526	0	0	5	0	1	0	1	0	0	2
ACOT13|55856	127	994	235	794	404	1205	802	665	1301	1207
ACOT1|641371	137	362	251	260	522	176	282	161	157	257
ACOT2|10965	232	809	601	511	847	384	599	343	323	537
ACOT4|122970	55	127	42	66	111	80	201	59	30	89
ACOT6|641372	0	1	0	0	0	1	8	0	1	1
ACOT7|11332	2013	1380	2234	1343	1621	1591	1249	940	3925	1845
ACOT8|10005	1090	690	513	551	866	756	1056	172	978	463
ACOT9|23597	367	739	1157	852	1027	538	541	460	710	630
ACOX1|51	794	3243	1872	3413	2498	3140	3129	890	2014	2199
ACOX2|8309	348	295	71	421	98	274	480	87	29	58
ACOX3|8310	277	462	320	314	321	373	299	86	600	428
ACOXL|55289	3	4	21	4	7	11	11	12	19	6
ACP1|52	697	2989	1683	2319	2571	3028	2290	1448	3694	3398
ACP2|53	514	1261	1163	324	398	761	696	390	550	564
ACP5|54	1077	2371	2603	468	493	1028	1272	458	813	1256
ACP6|51205	305	348	697	424	574	523	419	206	196	547
ACPL2|92370	76	505	278	305	185	594	297	222	881	578
ACPP|55	41	99	72	115	138	48	127	95	316	106
ACPT|93650	2	0	0	2	1	1	0	0	0	2
ACRBP|84519	18	48	11	11	56	21	17	22	17	48
ACRC|93953	11	13	54	19	13	22	9	24	5	7
ACRV1|56	2	2	2	0	2	3	0	3	7	0
ACR|49	24	21	10	17	5	21	13	11	20	20
ACSBG1|23205	2	5	5	3	12	8	6	1	6	2
ACSBG2|81616	0	1	1	4	2	9	5	0	6	0
ACSF2|80221	413	555	639	268	329	1119	1065	317	1043	885
ACSF3|197322	693	795	527	693	962	732	672	173	477	651
ACSL1|2180	223	1345	1719	1738	1777	537	310	443	1768	1894
ACSL3|2181	376	4041	1338	2391	2697	2241	1431	1287	2723	4028
ACSL4|2182	315	1937	1140	2301	2390	916	1083	710	1123	1108
ACSL5|51703	2745	10707	7827	8434	8745	12022	10637	4830	9319	5738
ACSL6|23305	45	277	8	305	2	302	404	20	264	237
ACSM1|116285	9	7	12	15	3	9	14	1	1	5
