"";"TCGA.OR.A5JZ";"TCGA.OR.A5L5";"TCGA.OR.A5JF";"TCGA.OR.A5LO";"TCGA.OR.A5KT";"TCGA.OR.A5L4";"TCGA.OR.A5KU";"TCGA.PK.A5H9";"TCGA.OR.A5JS";"TCGA.OR.A5LR";"TCGA.OR.A5LC";"TCGA.OR.A5JA";"TCGA.OR.A5JT";"TCGA.OR.A5J8";"TCGA.PA.A5YG";"TCGA.OR.A5LP";"TCGA.OR.A5LJ";"TCGA.OR.A5JL";"TCGA.OR.A5K4";"TCGA.OU.A5PI";"TCGA.OR.A5JJ";"TCGA.P6.A5OF";"TCGA.OR.A5K8";"TCGA.OR.A5L8"
"ABCB6";9,29714426982697;9,84986626083242;10,1959271656362;10,9500793361094;10,6181906237919;8,60970973436396;10,8432062289024;8,70072574478538;11,0991901154734;9,17326916264676;10,8596815690485;10,3142766518307;9,79783461708436;10,9248358890966;9,52248489023859;9,65221649060897;10,6752595615548;11,0257164455877;9,44720638562948;10,6561207207212;10,9635681627118;10,7029011303943;10,6802261690572;9,59112737069584
"ABCC5";9,25206434713786;10,2517055897537;10,9140814448212;11,9170135203372;10,1812568752871;10,2628802384021;10,8711166602526;10,3374535411507;11,7631069207757;10,0944484727053;11,7086188677431;10,8070684346204;9,57706990708846;10,6954347609304;11,2543899101337;9,90273722355276;12,4646533504677;10,8079650764389;9,67462957157563;11,8074617215489;10,9265899603827;11,5324473047106;10,8023074333975;11,7321382911746
"ABCC6P1";6,30650434086705;7,82779972276707;4,99782539345975;5,11634138665872;4,97496921595623;5,06249153186232;5,66837465335292;11,5016345874967;6,83015535088537;7,3159486930695;4,9154814139056;5,05240585959131;5,5263233071368;6,51333959350796;4,84325058612315;5,66090115418648;6,59365845780578;4,95919739054719;5,17755198620576;5,09478586046817;5,76336061703296;5,21205064961949;5,28658362030693;5,78179867049537
"ABCC6";5,50760409771017;9,17465823019926;6,91327548744475;5,57339466742719;6,81501391458304;6,7967201758948;5,27636536482548;13,4487327548373;9,30323711328485;8,67469146295224;6,03678974943563;6,26951055035006;8,55962255289631;7,42089402232817;7,15631926690467;7,59461036300927;6,87097209677077;8,86366093304317;6,31325264656342;6,5836015353246;7,12937992126798;5,77736687114465;6,10870489281526;7,79807907098036
"ABCE1";10,5287817819191;10,5504894152009;11,7225827198257;10,9933380060577;10,7795401822915;11,188277471537;11,5988173711446;10,8832107344444;10,8190078895821;10,308004359436;10,8994514379378;11,0744859104999;11,3307822526619;11,1222176534092;10,5557396598077;10,7474449809307;11,1931135137294;11,4805030119445;11,2341054314938;11,5907491528535;10,8127232891115;10,8831804067299;11,5582987184382;11,2108306632198
"ABCG2";7,3461873462813;8,88488790564864;8,56906505291604;6,44188334636775;7,38928232670187;7,79528340256774;5,76734794893014;9,75155448688844;6,02191963546622;8,35730985510279;7,05097469764601;5,5170351648711;8,79948530291342;8,22775520785643;10,1607915650873;9,10654264067208;7,88892237695317;9,09674000486392;6,78068511130699;11,1019779398295;7,58810447151257;7,63826468454683;7,56641021381268;10,4917558622827
"ABHD10";11,599634984969;11,664782371159;11,263797038669;11,29305254076;11,4205232784824;11,5951392405907;11,1175014888816;11,9348505750939;11,2556756524833;11,6973172883082;11,1875120246892;11,0448456766483;11,9174373476491;9,93094942358794;11,2377352632048;11,0466462845166;11,4665959209293;11,5540382575779;12,1692708359269;11,8266175369035;10,7528811279315;10,8550934778933;11,5005830815423;11,6804022155629
"ABHD11";10,1230757085761;9,93450158176309;10,9380072033104;10,3515606808248;10,6046042642212;11,2546046855003;10,4445058446442;9,71582191944021;10,602858930395;9,54567062291424;10,6792912822659;11,1325630650302;11,4523471685868;9,582311451112;10,9056934402138;11,1070190212339;11,0495190818264;11,1195401283231;9,60794961118802;10,4373019465645;11,163590348621;10,2815329192801;11,0914092265495;10,1196726022527
"ABHD12";12,4578997799811;13,1634188138259;11,7777794414486;9,9214625881715;12,1420107722918;11,2850726614491;12,1095793005448;11,4517398498438;10,9556995216272;11,7792586390357;11,8089363177991;10,7655107208273;12,65072473366;12,4182968100679;12,8678192964643;12,3968613893781;12,376777790366;11,1288688807103;12,8470052689772;11,3068492765844;11,6530913498167;11,2091291947949;11,7413635064925;10,0945419620772
"ABHD14A";10,7028331634137;11,0347304267965;10,3556694812707;9,66213695199782;10,4191260210648;9,73553231805104;10,6414751042976;9,70645489096874;11,2135263299188;9,91340036301928;11,0273789819624;9,58129240095506;9,6624749499102;9,92197831229988;10,0640438296973;9,93554925462846;10,0313822615524;9,6268440520119;9,56640741315375;10,6700231088757;10,2042814117904;10,3405082014442;11,1582607666125;10,7211560650088
"ABHD14B";13,2029192010894;12,3150896241457;11,9066673091061;11,5807637230581;11,5826004784073;12,0952060110802;11,3597432642254;12,0554105544653;11,1353107475914;12,4526691731443;12,3998451851256;11,4308709685342;12,1477254226413;10,8523488729267;11,7181094329682;11,8350858564825;9,38565447215041;11,9380129966289;11,9377728049594;11,4186550383646;10,8514839857356;11,6218952602451;12,0943428499956;10,8207256208088
"ABHD15";9,61210772795469;8,75408471387496;8,73918105438334;8,28998380353493;8,94275693767293;8,31099107828457;9,13420202681072;10,9945960932661;8,44311440907752;9,42662492109011;9,64010662653258;9,15984113960843;9,34035240695878;10,031335473089;8,92488416710085;9,04979323536453;7,83351814495649;8,85307774278623;10,2724672268476;8,65263668476253;8,79315750035057;8,64712738516419;8,69997870229201;8,30498806240369
"ABHD1";4,90994823297776;5,4175337563986;5,11949111751861;6,47195131342042;5,13873012820829;5,34027700910811;5,35724089528069;6,11682879839099;5,42190188342763;5,08715274513296;5,46330129157438;5,91064913062993;5,19557755237092;5,3371376351469;5,98783707049136;5,50370496058586;5,62756519067796;6,26269708211311;5,24744003963845;5,30609208832214;5,83724831652361;4,91763346445466;5,28658362030693;6,11799031445042
"ABI2";11,0297639236679;10,3799472003746;10,4098310561362;11,0218650939739;10,6383331255477;10,5001331797151;10,943357642462;10,7131043678741;10,328885575551;10,7000226319353;11,6994060556551;10,5247745545348;10,7757547197459;11,4857687107721;10,0684844783179;10,4108808596806;10,7999320941197;10,2103831824353;10,230045346606;10,5923328652573;10,7709675614411;10,3942764843144;10,4767225630951;11,4502555721024
"ABI3BP";12,1496857689649;10,8776601963318;7,2976481987481;6,84313195938632;9,34585493857427;9,68106284147161;6,54308624824676;6,68142156560422;5,82413476333731;11,7748957761508;6,94188614069976;8,07723593198977;13,1498486238894;12,1847961366926;12,3204486774469;12,8034940014858;5,94011268843924;6,57277099211307;10,0146596234746;8,90609775317711;7,21722881420318;8,38023089687233;6,41564284326126;6,52690398697563
"ABLIM1";8,34076385952273;11,1124379349753;13,0191251172732;10,2436478436107;10,7412515221399;9,39938314115643;10,5296351135066;12,3953899151275;13,3463302183976;11,0089939819561;12,7773718312614;8,22932837589246;8,54233997683091;8,95951659738341;12,081428064136;11,1530633915736;10,4522311312596;8,85573086619492;7,4251952801368;12,9518324597994;12,4504152123901;13,2985575944697;12,9400362624231;14,1017257137346
"ABLIM2";5,75167934522707;7,70969685268639;11,7976674373487;10,780966332534;11,4000269212366;7,03526207984758;10,6671755478778;10,5414318115292;10,457997230223;7,01922943574742;9,87523889277895;11,1515992396901;8,56305416393987;6,27381122954883;6,52025168395354;7,47657740382155;10,7152476166364;10,7529496314686;5,31029313414662;11,4290464381785;12,2411890398757;11,4843656997056;11,2113971203028;8,06363884389746
"ABO";10,6366464337047;8,62384029912464;8,08807598682927;7,4796507314166;7,28868365754456;7,6126229010421;6,39177190140346;11,6873463058975;9,21869940234862;10,7273792321055;7,69613588474188;8,09132973384943;7,97822598103277;5,29447378352854;7,24757823709058;10,6184784168965;7,74008128292913;7,41653385401523;9,09858499981451;7,8688239600902;5,02471700847001;8,93513193014789;8,02969934899235;6,50088048465849
"ACACA";11,6109702954145;10,7363526526063;10,9988052855392;9,75858389140053;11,7275095179434;10,5312420533029;10,5282333302173;11,0718052950691;11,1954496267623;11,9608739354059;12,1085707816517;11,0780021514273;11,0179400685603;10,7369319985979;10,2669891719418;10,8923146266197;10,780491705526;11,7323685853581;12,2331856032047;11,3683891725126;11,3730209542691;11,4004870517219;10,4249040348176;11,2618201140435
"ACAD10";11,8052675447768;11,1196822394635;10,2619628852641;9,31710246853861;10,089115708996;10,2994833990279;10,4370550593591;11,9413484009936;10,3201706248739;11,5778941936713;11,2376991842233;10,0629754838975;11,7580690416102;10,8873211822853;11,1773676808466;10,4067090486738;9,72719759886388;11,4440396817996;11,4662175587525;9,77653686581512;10,8945427255619;10,5938141646228;9,96872321279672;10,2150978549791
"ACAD11";9,0242867405892;10,0628670309729;10,0143357746629;9,7199056002366;8,77050476484605;9,12538124234151;10,2180461366343;10,9708480530764;11,1577131529488;9,80746984052321;9,44147995572268;8,87395308976281;10,0827218018322;9,3677207212311;9,58584145322332;9,61940535798905;10,5818458488267;8,91289214126208;8,678860071139;10,3234464345825;10,1261238227909;9,67172935930448;8,58206667814133;10,9377911261746
"ACADL";10,3734718656139;8,86773788156687;10,4243215269998;9,49399981055784;4,97496921595623;11,5686608374965;9,81539141873879;9,34668919766058;7,38162203552344;8,96538658286284;5,05527855473085;9,37358099167168;9,21540673856228;4,83188324848974;11,63638245849;9,6732192366977;4,96691716746584;10,1393735565812;9,27608353179514;10,16881895124;8,66043496213885;8,83618692602449;7,11032829979252;10,3764071303216
"ACADS";12,0558892133407;12,1218090839529;11,2670157356853;10,2151010720402;11,1783960668975;11,5614733997139;10,8876072811718;12,6676216259615;11,6927505608617;12,3216404936034;11,4163067875491;10,9673335255838;12,8735447078825;10,2549575235906;12,4734616712036;11,5592211780596;10,0092757220409;12,9091801271303;13,834661498083;10,8246850097704;11,5820728562835;11,1834253244877;10,890343669743;11,1661945386416
