C1QA	MS4A6A
C1QA	MS4A7
C1QA	NCF4
C1QA	NCKAP1L
C1QA	NFAM1
C1QA	PLEK
C1QA	RNASE6
C1QA	SLA
C1QA	SPI1
C1QA	TBXAS1
C1QA	TYROBP
C1QA	VSIG4
C1QB	C1QC
C1QB	CD4
C1QB	CD53
C1QB	CORO1A
C1QB	CSF1R
C1QB	CYBB
C1QB	EVI2B
C1QB	FCER1G
C1QB	FCGR2A
C1QB	GPSM3
C1QB	HCK
C1QB	HCLS1
C1QB	IL10RA
C1QB	ITGB2
C1QB	LAIR1
C1QB	MS4A4A
C1QB	MS4A6A
C1QB	MS4A7
C1QB	NCF4
C1QB	NCKAP1L
C1QB	NFAM1
C1QB	PLEK
C1QB	RNASE6
C1QB	SLA
C1QB	SPI1
C1QB	TBXAS1
C1QB	TYROBP
C1QB	VSIG4
C1QC	CD33
C1QC	CD4
C1QC	CD53
C1QC	CORO1A
C1QC	CSF1R
C1QC	CYBB
C1QC	EVI2B
C1QC	FCER1G
C1QC	FCGR2A
C1QC	FGD2
C1QC	GPSM3
C1QC	HCK
C1QC	HCLS1
C1QC	IL10RA
C1QC	ITGB2
C1QC	LAIR1
C1QC	LCP2
C1QC	LILRB4
C1QC	MS4A4A
C1QC	MS4A6A
C1QC	MS4A7
C1QC	NCF4
C1QC	NCKAP1L
C1QC	NFAM1
C1QC	PLEK
C1QC	RNASE6
C1QC	SAMSN1
C1QC	SLA
C1QC	SPI1
C1QC	TBXAS1
C1QC	TYROBP
C1QC	VSIG4
C1orf162	FCER1G
C1orf162	GPSM3
C1orf162	HCLS1
C1orf162	LAIR1
C1orf162	LST1
C1orf162	MYO1F
C1orf162	PARVG
C1orf162	PLCB2
C3orf72	FOXL2
C5orf23	NPR3
C7orf29	LRRC61
CCL3	CCL4
CCL5	CD2
CCL5	CD3E
CCL5	CST7
CCNA2	CDCA2
CCNA2	CDCA8
CCNA2	CDK1
CCNA2	CENPF
CCNA2	DEPDC1
CCNA2	HJURP
CCNA2	KIF4A
CCNA2	KIFC1
CCNA2	MKI67
CCNA2	NCAPG
CCNA2	PBK
CCNA2	PLK1
CCNA2	TOP2A
CCNA2	TROAP
CCR1	PLEK
CCR2	CXCR6
CD163	VSIG4
CD22	MAG
CD247	CD2
CD247	CD3E
CD247	CST7
CD247	GZMA
CD247	SH2D1A
CD247	SLAMF6
CD2	CD3E
CD2	CD8B
CD2	CXCR6
CD2	GZMA
CD2	GZMK
CD2	IL2RG
CD2	ITGAL
CD2	SH2D1A
CD2	SLAMF6
CD300A	FCER1G
CD300A	HCK
CD33	CD4
CD33	CD53
CD33	CSF1R
CD33	CYBB
CD33	FGD2
CD33	GPSM3
CD33	HCK
CD33	HCLS1
CD33	IL10RA
CD33	ITGB2
CD33	LAIR1
CD33	MS4A6A
CD33	MS4A7
CD33	NCF4
CD33	NCKAP1L
CD33	RASGRP4
CD33	SASH3
CD33	SLA
CD33	SPI1
CD33	TBXAS1
CD3E	CXCR6
CD3E	GZMA
CD3E	GZMK
CD3E	IL2RG
CD3E	SH2D1A
CD3E	SLAMF6
CD3E	TBC1D10C
CD48	IL2RG
CD48	TMC8
CD4	CD53
CD4	CSF1R
CD4	FCER1G
CD4	FCGR2A
CD4	GPSM3
CD4	IKZF1
CD4	IL10RA
CD4	IL16
CD4	ITGB2
CD4	LAIR1
CD4	LILRB2
CD4	MS4A6A
CD4	MS4A7
CD4	NCKAP1L
CD4	SLCO2B1
CD4	SPI1
CD4	TBXAS1
CD4	TMC8
CD4	TYROBP
CD53	CORO1A
CD53	CSF1R
CD53	CYBB
CD53	EVI2A
CD53	EVI2B
CD53	FCER1G
CD53	FCGR2A
CD53	FCGR3A
CD53	FYB
CD53	GPSM3
CD53	HCK
CD53	HCLS1
CD53	IKZF1
CD53	IL10RA
CD53	ITGB2
CD53	LAIR1
CD53	LCP2
CD53	LILRB4
CD53	LY86
CD53	MS4A4A
CD53	MS4A6A
CD53	MYO1F
CD53	NCKAP1L
CD53	NFAM1
CD53	PARVG
CD53	PLCB2
CD53	PLEK
CD53	RNASE6
CD53	SAMSN1
CD53	SASH3
CD53	SELPLG
CD53	SLA
CD53	SPI1
CD53	TBXAS1
CD53	TYROBP
CD53	VSIG4
CD53	WAS
CD74	HLA-DPA1
CD74	HLA-DPB1
CD74	HLA-DRA
CD8B	GZMA
CDC20	CDC45
CDC20	CDCA2
CDC20	CDCA5
CDC20	CDCA8
CDC20	CDK1
CDC20	CENPF
CDC20	CENPM
CDC20	CEP55
CDC20	DEPDC1
CDC20	DLGAP5
CDC20	GTSE1
CDC20	HJURP
CDC20	KIF2C
CDC20	KIF4A
CDC20	KIFC1
CDC20	MKI67
CDC20	NDC80
CDC20	NUF2
CDC20	PLK1
CDC20	RAD54L
CDC20	RRM2
CDC20	TOP2A
CDC20	TROAP
CDC20	UBE2C
CDC20	UHRF1
CDC45	CDCA5
CDC45	CENPM
CDC45	DEPDC1
CDC45	DTL
CDC45	EXO1
CDC45	GTSE1
CDC45	KIF18B
CDC45	KIF4A
CDC45	RAD51
CDCA2	CDCA8
CDCA2	CDK1
CDCA2	CENPF
CDCA2	CEP55
CDCA2	CKAP2L
CDCA2	FOXM1
CDCA2	HJURP
CDCA2	KIF18B
CDCA2	KIF20A
CDCA2	KIF2C
CDCA2	KIF4A
CDCA2	KIFC1
CDCA2	MKI67
CDCA2	NDC80
CDCA2	PBK
CDCA2	PLK1
CDCA2	TOP2A
CDCA2	TROAP
CDCA2	UBE2C
CDCA5	CDCA8
CDCA5	CENPA
CDCA5	CEP55
CDCA5	CKAP2L
CDCA5	DEPDC1
CDCA5	DTL
CDCA5	E2F2
CDCA5	EPR1
CDCA5	EXO1
CDCA5	FOXM1
CDCA5	HJURP
CDCA5	KIF18B
CDCA5	KIF2C
CDCA5	KIFC1
CDCA5	MYBL2
CDCA5	NCAPH
CDCA5	NEK2
CDCA5	NUF2
CDCA5	ORC1L
CDCA5	PLK1
CDCA5	RACGAP1
CDCA5	RAD51
CDCA5	RRM2
CDCA5	SGOL1
CDCA5	SPAG5
CDCA8	CDK1
CDCA8	CENPA
CDCA8	CENPF
CDCA8	CEP55
CDCA8	CKAP2L
CDCA8	DEPDC1
CDCA8	DLGAP5
CDCA8	DTL
CDCA8	E2F2
CDCA8	EXO1
CDCA8	FOXM1
CDCA8	HJURP
CDCA8	KIF11
CDCA8	KIF18B
CDCA8	KIF23
CDCA8	KIF2C
CDCA8	KIF4A
CDCA8	KIFC1
CDCA8	MKI67
CDCA8	NDC80
CDCA8	NUF2
CDCA8	ORC1L
CDCA8	PBK
CDCA8	PLK1
CDCA8	PRC1
CDCA8	RACGAP1
CDCA8	RAD54L
CDCA8	SKA3
CDCA8	SPAG5
CDCA8	SPC25
CDCA8	TOP2A
CDCA8	TROAP
CDCA8	UBE2C
CDCA8	UHRF1
CDCA8	ZWINT
CDH5	CXorf36
CDH5	ELTD1
CDH5	TIE1
CDK1	CDKN3
CDK1	CENPF
CDK1	CEP55
CDK1	CKAP2L
CDK1	DEPDC1
CDK1	DLGAP5
CDK1	DTL
CDK1	EXO1
CDK1	HJURP
CDK1	KIAA0101
CDK1	KIF11
CDK1	KIF14
CDK1	KIF18B
CDK1	KIF20A
CDK1	KIF2C
CDK1	KIF4A
CDK1	KIFC1
CDK1	MELK
CDK1	MKI67
CDK1	NDC80
CDK1	NEK2
CDK1	NUF2
CDK1	PBK
CDK1	PKMYT1
CDK1	PLK1
CDK1	RACGAP1
CDK1	RRM2
CDK1	TOP2A
CDK1	TROAP
CDK1	UBE2C
CDK1	UHRF1
CDK1	ZWINT
CDKN3	CENPA
CDKN3	DLGAP5
CDKN3	PLK1
CENPA	CEP55
CENPA	CKAP2L
CENPA	DEPDC1
CENPA	DLGAP5
CENPA	HJURP
CENPA	KIF11
CENPA	KIF23
CENPA	KIF2C
CENPA	KIFC1
CENPA	MKI67
CENPA	NCAPH
CENPA	NUF2
CENPA	PLK1
CENPA	RRM2
CENPF	CEP55
CENPF	DEPDC1
CENPF	DLGAP5
CENPF	EXO1
CENPF	HJURP
CENPF	IQGAP3
CENPF	KIF11
CENPF	KIF14
CENPF	KIF20A
CENPF	KIF2C
CENPF	KIF4A
CENPF	KIFC1
CENPF	MKI67
CENPF	NUF2
CENPF	PBK
CENPF	PLK1
CENPF	RACGAP1
CENPF	RRM2
CENPF	TOP2A
CENPF	TROAP
CENPF	UBE2C
CENPM	GTSE1
CENPM	HJURP
CENPM	UBE2C
CEP55	DEPDC1
CEP55	EXO1
CEP55	GTSE1
CEP55	HJURP
CEP55	IQGAP3
CEP55	KIAA0101
CEP55	KIF11
CEP55	KIF14
CEP55	KIF18B
CEP55	KIF2C
CEP55	KIF4A
CEP55	KIFC1
CEP55	MCM10
CEP55	MKI67
CEP55	MYBL2
CEP55	NDC80
CEP55	NUF2
CEP55	PLK1
CEP55	TOP2A
CEP55	TROAP
CEP55	UBE2C
CEP55	UHRF1
CEP55	ZWINT
CHRFAM7A	CHRNA7
CIITA	HLA-DRA
CKAP2L	DEPDC1
CKAP2L	DLGAP5
CKAP2L	EXO1
CKAP2L	KIF11
CKAP2L	KIF14
CKAP2L	KIF15
CKAP2L	KIF18B
CKAP2L	KIF23
CKAP2L	KIF4A
CKAP2L	NUF2
CKAP2L	PBK
CKAP2L	PLK1
CKAP2L	RAD51
CKAP2L	RRM2
CKAP2L	SGOL1
CKAP2L	TYMS
CLEC7A	CYBB
CLEC7A	FCGR2A
CLEC7A	ITGB2
CLEC7A	NCKAP1L
CMKLR1	MS4A6A
CMKLR1	PLEK
COL4A3	COL4A4
CORO1A	CSF1R
CORO1A	EVI2A
CORO1A	EVI2B
CORO1A	FCER1G
CORO1A	FCGR2A
CORO1A	GPR65
CORO1A	GPSM3
CORO1A	HCK
CORO1A	HCLS1
CORO1A	IKZF1
CORO1A	ITGB2
CORO1A	LAIR1
CORO1A	LAT2
CORO1A	LCP2
CORO1A	LOC606724
CORO1A	LST1
CORO1A	LY86
CORO1A	MYO1F
CORO1A	NCKAP1L
CORO1A	PARVG
CORO1A	PLCB2
CORO1A	RNASE6
CORO1A	SASH3
CORO1A	SELPLG
CORO1A	SPI1
CORO1A	TNFAIP8L2
CORO1A	TYROBP
CORO1A	WAS
CSF1R	CYBB
CSF1R	EVI2A
CSF1R	EVI2B
CSF1R	FCER1G
CSF1R	FCGR2A
CSF1R	FGD2
CSF1R	GPR34
CSF1R	GPSM3
CSF1R	HCK
CSF1R	HCLS1
CSF1R	IKZF1
CSF1R	IL10RA
CSF1R	ITGAM
CSF1R	ITGB2
CSF1R	LAIR1
CSF1R	LPAR5
CSF1R	LY86
CSF1R	MS4A6A
CSF1R	MS4A7
CSF1R	NCKAP1L
CSF1R	NFAM1
CSF1R	NLRP3
CSF1R	PARVG
CSF1R	PLCB2
CSF1R	RNASE6
CSF1R	SASH3
CSF1R	SELPLG
CSF1R	SLA
CSF1R	SLCO2B1
CSF1R	SPI1
CSF1R	TBXAS1
CSF1R	TYROBP
CSF2RA	LAT2
CSF2RA	LY86
CSF2RA	SELPLG
CSF3R	HCLS1
CSF3R	MYO1F
CSF3R	PARVG
CSF3R	PLCB2
CST7	GZMA
CST7	SH2D1A
CTAGE4	CTAGE9
CXCR6	GZMA
CXCR6	GZMK
CXCR6	SH2D1A
CXorf36	TIE1
CYBB	EVI2A
CYBB	EVI2B
CYBB	FCGR2A
CYBB	HCK
CYBB	IKZF1
CYBB	IL10RA
CYBB	IRF8
CYBB	ITGAM
CYBB	ITGB2
CYBB	LAIR1
CYBB	LILRB4
CYBB	MS4A6A
CYBB	MS4A7
CYBB	NCKAP1L
CYBB	NFAM1
CYBB	PLEK
CYBB	PTPRC
CYBB	RNASE6
CYBB	SAMSN1
CYBB	SASH3
CYBB	SLA
CYBB	SLCO2B1
CYBB	TBXAS1
CYBB	TFEC
CYP51A1	IDI1
DDTL	DDT
DDX3Y	PRKY
DDX3Y	RPS4Y1
DEPDC1	DLGAP5
DEPDC1	DTL
DEPDC1	ERCC6L
DEPDC1	EXO1
DEPDC1	FOXM1
DEPDC1	HJURP
DEPDC1	KIF11
DEPDC1	KIF14
DEPDC1	KIF18B
DEPDC1	KIF23
DEPDC1	KIF2C
DEPDC1	KIF4A
DEPDC1	KIFC1
DEPDC1	MELK
DEPDC1	MKI67
DEPDC1	NUF2
DEPDC1	PBK
DEPDC1	PLK1
DEPDC1	RACGAP1
DEPDC1	RAD51
DEPDC1	RRM2
DEPDC1	SHCBP1
DEPDC1	TOP2A
DEPDC1	TROAP
DEPDC1	UHRF1
DEPDC1	ZWINT
DLGAP5	EXO1
DLGAP5	GTSE1
DLGAP5	HJURP
DLGAP5	KIF14
DLGAP5	KIF18B
DLGAP5	KIF23
DLGAP5	KIF2C
DLGAP5	KIF4A
DLGAP5	KIFC1
DLGAP5	MELK
DLGAP5	MKI67
DLGAP5	NUF2
DLGAP5	PLK1
DLGAP5	RRM2
DLGAP5	TOP2A
DLGAP5	TROAP
DLX6AS	DLX6
DTL	EXO1
DTL	HJURP
DTL	KIF18B
DTL	KIF4A
DTL	NUF2
DTL	PKMYT1
DTL	RACGAP1
DTL	UHRF1
DTL	ZWINT
E2F2	RAD51
EIF5AL1	EIF5A
ERCC6L	KIF4A
ERCC6L	TOP2A
ERG	TIE1
ESAM	TIE1
EVI2A	EVI2B
EVI2A	FCER1G
EVI2A	FCGR2A
EVI2A	GPSM3
EVI2A	HCK
EVI2A	HCLS1
EVI2A	IKZF1
EVI2A	IL10RA
EVI2A	ITGAM
EVI2A	ITGB2
EVI2A	LAIR1
EVI2A	LY86
EVI2A	MS4A6A
EVI2A	MYO1F
EVI2A	NCKAP1L
EVI2A	NFAM1
EVI2A	RNASE6
EVI2A	SAMSN1
EVI2A	SASH3
EVI2A	SELPLG
EVI2A	SLCO2B1
EVI2A	SPI1
EVI2A	TBXAS1
EVI2A	TYROBP
EVI2B	FCER1G
EVI2B	FCGR2A
EVI2B	FYB
EVI2B	GPSM3
EVI2B	HCK
EVI2B	HCLS1
EVI2B	IKZF1
EVI2B	IL10RA
EVI2B	ITGB2
EVI2B	LAIR1
EVI2B	LY86
EVI2B	MS4A6A
EVI2B	MYO1F
EVI2B	NCKAP1L
EVI2B	PLEK
EVI2B	PTPRC
EVI2B	RNASE6
EVI2B	SAMSN1
EVI2B	SASH3
EVI2B	SELPLG
EVI2B	SPI1
EVI2B	TBXAS1
EVI2B	TYROBP
EVI2B	WAS
